id,session_id,role,content,created_at
1,1,user,"Gia đình mình muốn đi biển, khoảng 4 ngày",2026-07-07 08:01:00
2,1,assistant,Bạn cho mình biết thêm ngân sách dự kiến để lọc tour phù hợp hơn nhé.,2026-07-07 08:02:00
3,2,user,Tour đầu có gì hay?,2026-06-01 08:03:00
4,2,assistant,"Tour đầu nổi bật ở điểm đến, mức giá và nhóm trải nghiệm phù hợp với sở thích của bạn.",2026-06-01 08:04:00
5,3,user,"Tôi muốn đi Đà Lạt 3 ngày, ngân sách 5 triệu",2026-06-30 08:05:00
6,3,assistant,Mình sẽ tìm các tour Đà Lạt gần ngân sách và thời lượng của bạn.,2026-06-30 08:06:00
7,4,user,"Gia đình mình muốn đi biển, khoảng 4 ngày",2026-06-07 08:07:00
8,4,assistant,Bạn cho mình biết thêm ngân sách dự kiến để lọc tour phù hợp hơn nhé.,2026-06-07 08:00:00
9,5,user,Tour đầu có gì hay?,2026-07-31 08:01:00
10,5,assistant,"Tour đầu nổi bật ở điểm đến, mức giá và nhóm trải nghiệm phù hợp với sở thích của bạn.",2026-07-31 08:02:00
11,6,user,"Tôi muốn đi Đà Lạt 3 ngày, ngân sách 5 triệu",2026-06-20 08:03:00
12,6,assistant,Mình sẽ tìm các tour Đà Lạt gần ngân sách và thời lượng của bạn.,2026-06-20 08:04:00
13,7,user,"Gia đình mình muốn đi biển, khoảng 4 ngày",2026-07-21 08:05:00
14,7,assistant,Bạn cho mình biết thêm ngân sách dự kiến để lọc tour phù hợp hơn nhé.,2026-07-21 08:06:00
15,8,user,Tour đầu có gì hay?,2026-07-26 08:07:00
16,8,assistant,"Tour đầu nổi bật ở điểm đến, mức giá và nhóm trải nghiệm phù hợp với sở thích của bạn.",2026-07-26 08:00:00
17,9,user,"Tôi muốn đi Đà Lạt 3 ngày, ngân sách 5 triệu",2026-08-04 08:01:00
18,9,assistant,Mình sẽ tìm các tour Đà Lạt gần ngân sách và thời lượng của bạn.,2026-08-04 08:02:00
19,10,user,"Gia đình mình muốn đi biển, khoảng 4 ngày",2026-08-06 08:03:00
20,10,assistant,Bạn cho mình biết thêm ngân sách dự kiến để lọc tour phù hợp hơn nhé.,2026-08-06 08:04:00
21,11,user,Tour đầu có gì hay?,2026-08-06 08:05:00
22,11,assistant,"Tour đầu nổi bật ở điểm đến, mức giá và nhóm trải nghiệm phù hợp với sở thích của bạn.",2026-08-06 08:06:00
