id,name,destination,price,duration,description,avg_rating,review_count,source,source_url,season,image_url,created_at,updated_at,duration_label,original_price,highlights,places,topics,gallery,itinerary,included,excluded,schedule,transport
1,Tour Phú Quốc 4N3Đ: Tiết Kiệm Romantic,Phú Quốc,14160000,4,"Hành trình Phú Quốc 4 ngày dành cho du khách yêu thích romantic, family, beach.",9.0,35,bestprice,https://synthetic.example.com/tours/1,summer,https://picsum.photos/seed/tour-1/900/600,2025-09-29 08:00:00,2025-10-28 08:00:00,4N3Đ,17319706,"[""Trải nghiệm romantic"", ""Trải nghiệm family"", ""Trải nghiệm beach""]","[""Phú Quốc""]","[""romantic"", ""family"", ""beach"", ""water_sports""]","[""https://picsum.photos/seed/tour-1-1/900/600"", ""https://picsum.photos/seed/tour-1-2/900/600"", ""https://picsum.photos/seed/tour-1-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
2,Tour Phú Quốc 5N4Đ: Trọn Gói Relax,Phú Quốc,5410000,5,"Hành trình Phú Quốc 5 ngày dành cho du khách yêu thích relax, family, luxury.",9.1,111,bestprice,https://synthetic.example.com/tours/2,summer,https://picsum.photos/seed/tour-2/900/600,2024-12-18 08:00:00,2024-12-26 08:00:00,5N4Đ,5831665,"[""Trải nghiệm relax"", ""Trải nghiệm family"", ""Trải nghiệm luxury""]","[""Phú Quốc""]","[""relax"", ""family"", ""luxury"", ""romantic""]","[""https://picsum.photos/seed/tour-2-1/900/600"", ""https://picsum.photos/seed/tour-2-2/900/600"", ""https://picsum.photos/seed/tour-2-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}, {""day"": 5, ""title"": ""Ngày 5 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
3,Tour Hạ Long 4N3Đ: Khám Phá Luxury,Hạ Long,8200000,4,"Hành trình Hạ Long 4 ngày dành cho du khách yêu thích luxury, beach, photography.",7.5,120,klook,https://synthetic.example.com/tours/3,summer,https://picsum.photos/seed/tour-3/900/600,2025-11-03 08:00:00,2025-11-24 08:00:00,4N3Đ,9286400,"[""Trải nghiệm luxury"", ""Trải nghiệm beach"", ""Trải nghiệm photography""]","[""Hạ Long""]","[""luxury"", ""beach"", ""photography"", ""cruise""]","[""https://picsum.photos/seed/tour-3-1/900/600"", ""https://picsum.photos/seed/tour-3-2/900/600"", ""https://picsum.photos/seed/tour-3-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hạ Long""}, {""day"": 2, ""title"": ""Ngày 2 tại Hạ Long""}, {""day"": 3, ""title"": ""Ngày 3 tại Hạ Long""}, {""day"": 4, ""title"": ""Ngày 4 tại Hạ Long""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
4,Tour Phú Quốc 5N4Đ: Ẩm Thực Family,Phú Quốc,6540000,5,"Hành trình Phú Quốc 5 ngày dành cho du khách yêu thích family, water_sports, relax.",8.5,51,bestprice,https://synthetic.example.com/tours/4,summer,https://picsum.photos/seed/tour-4/900/600,2026-06-20 08:00:00,2026-07-09 08:00:00,5N4Đ,7856174,"[""Trải nghiệm family"", ""Trải nghiệm water_sports"", ""Trải nghiệm relax""]","[""Phú Quốc""]","[""family"", ""water_sports"", ""relax"", ""romantic""]","[""https://picsum.photos/seed/tour-4-1/900/600"", ""https://picsum.photos/seed/tour-4-2/900/600"", ""https://picsum.photos/seed/tour-4-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}, {""day"": 5, ""title"": ""Ngày 5 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
5,Tour Phú Quốc 5N4Đ: Nghỉ Dưỡng Water Sports,Phú Quốc,15690000,5,"Hành trình Phú Quốc 5 ngày dành cho du khách yêu thích water_sports, romantic, family.",8.2,115,traveloka,https://synthetic.example.com/tours/5,summer,https://picsum.photos/seed/tour-5/900/600,2025-02-22 08:00:00,2025-03-16 08:00:00,5N4Đ,17353755,"[""Trải nghiệm water_sports"", ""Trải nghiệm romantic"", ""Trải nghiệm family""]","[""Phú Quốc""]","[""water_sports"", ""romantic"", ""family"", ""relax""]","[""https://picsum.photos/seed/tour-5-1/900/600"", ""https://picsum.photos/seed/tour-5-2/900/600"", ""https://picsum.photos/seed/tour-5-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}, {""day"": 5, ""title"": ""Ngày 5 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
6,Tour Đà Lạt 5N4Đ: Check-in Romantic,Đà Lạt,4460000,5,"Hành trình Đà Lạt 5 ngày dành cho du khách yêu thích romantic, nature, photography.",8.8,16,bestprice,https://synthetic.example.com/tours/6,winter,https://picsum.photos/seed/tour-6/900/600,2026-04-10 08:00:00,2026-04-20 08:00:00,5N4Đ,5395946,"[""Trải nghiệm romantic"", ""Trải nghiệm nature"", ""Trải nghiệm photography""]","[""Đà Lạt""]","[""romantic"", ""nature"", ""photography"", ""mountain""]","[""https://picsum.photos/seed/tour-6-1/900/600"", ""https://picsum.photos/seed/tour-6-2/900/600"", ""https://picsum.photos/seed/tour-6-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}, {""day"": 4, ""title"": ""Ngày 4 tại Đà Lạt""}, {""day"": 5, ""title"": ""Ngày 5 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
7,Tour Côn Đảo 5N4Đ: Gia Đình Beach,Côn Đảo,7910000,5,"Hành trình Côn Đảo 5 ngày dành cho du khách yêu thích beach, spiritual, history.",9.3,13,klook,https://synthetic.example.com/tours/7,summer,https://picsum.photos/seed/tour-7/900/600,2025-04-30 08:00:00,2025-05-18 08:00:00,5N4Đ,8461863,"[""Trải nghiệm beach"", ""Trải nghiệm spiritual"", ""Trải nghiệm history""]","[""Côn Đảo""]","[""beach"", ""spiritual"", ""history"", ""relax""]","[""https://picsum.photos/seed/tour-7-1/900/600"", ""https://picsum.photos/seed/tour-7-2/900/600"", ""https://picsum.photos/seed/tour-7-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Côn Đảo""}, {""day"": 2, ""title"": ""Ngày 2 tại Côn Đảo""}, {""day"": 3, ""title"": ""Ngày 3 tại Côn Đảo""}, {""day"": 4, ""title"": ""Ngày 4 tại Côn Đảo""}, {""day"": 5, ""title"": ""Ngày 5 tại Côn Đảo""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
8,Tour Hạ Long 3N2Đ: Trọn Gói Beach,Hạ Long,8190000,3,"Hành trình Hạ Long 3 ngày dành cho du khách yêu thích beach, cruise, luxury.",9.6,107,bestprice,https://synthetic.example.com/tours/8,summer,https://picsum.photos/seed/tour-8/900/600,2025-03-27 08:00:00,2025-04-06 08:00:00,3N2Đ,10071872,"[""Trải nghiệm beach"", ""Trải nghiệm cruise"", ""Trải nghiệm luxury""]","[""Hạ Long""]","[""beach"", ""cruise"", ""luxury"", ""family""]","[""https://picsum.photos/seed/tour-8-1/900/600"", ""https://picsum.photos/seed/tour-8-2/900/600"", ""https://picsum.photos/seed/tour-8-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hạ Long""}, {""day"": 2, ""title"": ""Ngày 2 tại Hạ Long""}, {""day"": 3, ""title"": ""Ngày 3 tại Hạ Long""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
9,Tour Hạ Long 4N3Đ: Gia Đình Photography,Hạ Long,9390000,4,"Hành trình Hạ Long 4 ngày dành cho du khách yêu thích photography, beach, cruise.",8.0,60,bestprice,https://synthetic.example.com/tours/9,summer,https://picsum.photos/seed/tour-9/900/600,2024-11-02 08:00:00,2024-12-01 08:00:00,4N3Đ,9486952,"[""Trải nghiệm photography"", ""Trải nghiệm beach"", ""Trải nghiệm cruise""]","[""Hạ Long""]","[""photography"", ""beach"", ""cruise"", ""luxury""]","[""https://picsum.photos/seed/tour-9-1/900/600"", ""https://picsum.photos/seed/tour-9-2/900/600"", ""https://picsum.photos/seed/tour-9-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hạ Long""}, {""day"": 2, ""title"": ""Ngày 2 tại Hạ Long""}, {""day"": 3, ""title"": ""Ngày 3 tại Hạ Long""}, {""day"": 4, ""title"": ""Ngày 4 tại Hạ Long""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
10,Tour Đà Lạt 4N3Đ: Nghỉ Dưỡng Romantic,Đà Lạt,3750000,4,"Hành trình Đà Lạt 4 ngày dành cho du khách yêu thích romantic, mountain, relax.",9.7,57,klook,https://synthetic.example.com/tours/10,winter,https://picsum.photos/seed/tour-10/900/600,2026-07-29 08:00:00,2026-08-13 08:00:00,4N3Đ,4576962,"[""Trải nghiệm romantic"", ""Trải nghiệm mountain"", ""Trải nghiệm relax""]","[""Đà Lạt""]","[""romantic"", ""mountain"", ""relax"", ""nature""]","[""https://picsum.photos/seed/tour-10-1/900/600"", ""https://picsum.photos/seed/tour-10-2/900/600"", ""https://picsum.photos/seed/tour-10-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}, {""day"": 4, ""title"": ""Ngày 4 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
