id,tour_id,content,language,rating,reviewer_name,created_at
1,1,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động beach, đáng cân nhắc.",vi,8.8,Thu Hà,2025-07-22 08:00:00
2,1,"Đi Phú Quốc khá vui, điểm tham quan đẹp, phù hợp nhóm thích beach.",vi,8.2,Gia Huy,2026-03-19 08:00:00
3,1,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,8.9,Thu Hà,2025-10-02 08:00:00
4,1,"Mình thích phần family, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.8,Thu Hà,2025-08-03 08:00:00
5,1,"Đi Phú Quốc khá vui, điểm tham quan đẹp, phù hợp nhóm thích nature.",vi,7.9,Quốc Bảo,2025-10-12 08:00:00
6,2,"Mình thích phần relax, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Quốc Bảo,2025-02-08 08:00:00
7,2,"Đi Phú Quốc khá vui, điểm tham quan đẹp, phù hợp nhóm thích water_sports.",vi,8.8,Phương Linh,2025-04-09 08:00:00
8,2,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,8.5,Hoàng Nam,2025-07-06 08:00:00
9,3,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động luxury, đáng cân nhắc.",vi,8.4,Minh Anh,2025-12-04 08:00:00
10,3,"Tour Hạ Long lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm photography rất rõ.",vi,6.5,Phương Linh,2025-04-28 08:00:00
11,4,"Mình thích phần nightlife, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,7.3,Hoàng Nam,2025-12-27 08:00:00
12,4,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,7.7,Gia Huy,2026-04-11 08:00:00
13,4,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,9.5,Quốc Bảo,2025-11-11 08:00:00
14,4,"Gia đình mình hài lòng với tour Phú Quốc, nhịp đi vừa phải và dễ tham gia.",vi,9.0,Minh Anh,2026-06-02 08:00:00
15,4,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động relax, đáng cân nhắc.",vi,8.2,Quốc Bảo,2025-10-26 08:00:00
16,4,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động luxury, đáng cân nhắc.",vi,9.4,Thu Hà,2025-07-14 08:00:00
17,5,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động water_sports, đáng cân nhắc.",vi,8.6,Minh Anh,2025-11-03 08:00:00
18,5,"Tour Phú Quốc lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm family rất rõ.",vi,9.4,Minh Anh,2025-06-08 08:00:00
19,5,"Đi Phú Quốc khá vui, điểm tham quan đẹp, phù hợp nhóm thích shopping.",vi,8.8,Quốc Bảo,2025-12-01 08:00:00
20,6,"Mình thích phần mountain, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.3,Hoàng Nam,2025-03-10 08:00:00
21,6,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm food rất rõ.",vi,8.4,Hoàng Nam,2026-06-21 08:00:00
22,6,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,7.8,Quốc Bảo,2026-06-23 08:00:00
23,7,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động spiritual, đáng cân nhắc.",vi,9.5,Phương Linh,2025-03-20 08:00:00
24,7,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động relax, đáng cân nhắc.",vi,8.9,Quốc Bảo,2026-08-03 08:00:00
25,8,"Mình thích phần beach, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.3,Phương Linh,2025-10-07 08:00:00
26,8,"Đi Hạ Long khá vui, điểm tham quan đẹp, phù hợp nhóm thích shopping.",vi,10.0,Thu Hà,2025-03-09 08:00:00
27,8,"Tour Hạ Long lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm shopping rất rõ.",vi,10.0,Gia Huy,2025-03-12 08:00:00
28,8,"Tour Hạ Long lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm photography rất rõ.",vi,10.0,Thu Hà,2025-08-11 08:00:00
29,8,"Tour Hạ Long lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm beach rất rõ.",vi,9.4,Hoàng Nam,2026-07-15 08:00:00
30,8,"Tour Hạ Long lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm photography rất rõ.",vi,9.0,Quốc Bảo,2025-10-06 08:00:00
31,9,"Mình thích phần beach, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,7.8,Phương Linh,2026-07-25 08:00:00
32,9,"Đi Hạ Long khá vui, điểm tham quan đẹp, phù hợp nhóm thích relax.",vi,6.3,Hoàng Nam,2026-01-18 08:00:00
33,9,"Tour Hạ Long lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm relax rất rõ.",vi,7.7,Hoàng Nam,2026-06-23 08:00:00
34,10,"Mình thích phần food, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Hoàng Nam,2026-08-01 08:00:00
35,10,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm culture rất rõ.",vi,10.0,Quốc Bảo,2025-01-09 08:00:00
36,10,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động food, đáng cân nhắc.",vi,9.9,Quốc Bảo,2026-08-11 08:00:00
37,10,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm food rất rõ.",vi,9.7,Gia Huy,2025-10-05 08:00:00
38,10,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động food, đáng cân nhắc.",vi,10.0,Gia Huy,2025-04-02 08:00:00
39,10,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,8.9,Gia Huy,2026-03-13 08:00:00
40,11,"Tour Nha Trang lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm beach rất rõ.",vi,9.0,Gia Huy,2026-07-15 08:00:00
41,11,"Mình thích phần photography, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,8.2,Phương Linh,2026-03-03 08:00:00
42,11,"Đi Nha Trang khá vui, điểm tham quan đẹp, phù hợp nhóm thích family.",vi,9.4,Hoàng Nam,2025-07-09 08:00:00
43,11,"Mình thích phần beach, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.2,Thu Hà,2025-05-12 08:00:00
44,11,"Mình thích phần family, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Gia Huy,2025-03-09 08:00:00
45,11,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động family, đáng cân nhắc.",vi,8.5,Thu Hà,2025-12-01 08:00:00
46,12,"Mình thích phần mountain, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Hoàng Nam,2026-02-13 08:00:00
47,12,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động budget, đáng cân nhắc.",vi,8.8,Gia Huy,2026-02-23 08:00:00
48,12,"Gia đình mình hài lòng với tour Đà Lạt, nhịp đi vừa phải và dễ tham gia.",vi,10.0,Gia Huy,2025-10-24 08:00:00
49,12,"Tour Đà Lạt lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm nature rất rõ.",vi,8.9,Thu Hà,2026-04-11 08:00:00
50,13,"Mình thích phần cruise, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,10.0,Phương Linh,2025-08-01 08:00:00
51,13,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động luxury, đáng cân nhắc.",vi,9.0,Phương Linh,2025-12-09 08:00:00
52,14,"Khách sạn và di chuyển ổn, tour có nhiều hoạt động family, đáng cân nhắc.",vi,9.8,Minh Anh,2025-12-02 08:00:00
53,14,"Gia đình mình hài lòng với tour Đà Nẵng, nhịp đi vừa phải và dễ tham gia.",vi,9.2,Hoàng Nam,2025-09-25 08:00:00
54,14,"Đi Đà Nẵng khá vui, điểm tham quan đẹp, phù hợp nhóm thích photography.",vi,9.2,Phương Linh,2025-08-14 08:00:00
55,14,"Đi Đà Nẵng khá vui, điểm tham quan đẹp, phù hợp nhóm thích beach.",vi,9.0,Minh Anh,2025-06-16 08:00:00
56,15,"Tour Huế lịch trình hợp lý, hướng dẫn viên nhiệt tình, trải nghiệm history rất rõ.",vi,8.8,Phương Linh,2026-01-10 08:00:00
57,15,"Gia đình mình hài lòng với tour Huế, nhịp đi vừa phải và dễ tham gia.",vi,9.3,Gia Huy,2025-12-31 08:00:00
58,15,"Đi Huế khá vui, điểm tham quan đẹp, phù hợp nhóm thích spiritual.",vi,6.9,Thu Hà,2025-12-31 08:00:00
59,15,"Mình thích phần spiritual, giá phù hợp và dịch vụ ổn so với kỳ vọng.",vi,9.1,Phương Linh,2025-05-11 08:00:00
